Image,Vintage,Modern
/lugaresinexistentes - card (11).jpg,-0.7772154898380834,-0.5257059278320357
/lugaresinexistentes - card (12).jpg,-0.05652995005563491,-0.5270537754559053
/lugaresinexistentes - card (13).jpg,0.16443604457332683,-0.15479090855040606
/lugaresinexistentes - card (14).jpg,-0.8452548310620994,-0.26831427376299977
/casadovelho - matches.jpg,-3.1260140103413177,0.8282102870810565
/lugaresinexistentes - card (2).jpg,0.04766949009119951,-0.3949428134755352
/casadovelho - clip.jpg,-1.895540016360599,-0.15544105304473574
/lugaresinexistentes - card (4).jpg,-1.188605426366092,-0.5418396715690659
/lugaresinexistentes - card (7).jpg,-0.7543347851310497,-0.9828309821466448
/casadovelho - drink.jpg,-2.7092398683463164,2.9512284486932505
/lugaresinexistentes - card (1).jpg,-1.5811921149367982,-0.8326226071573035
/lugaresinexistentes - card (10).jpg,-0.40079003147681064,-0.22767291354775254
/lugaresinexistentes - card (6).jpg,-0.1504318404456607,-0.6688320131666763
/lugaresinexistentes - card (3).jpg,-0.6912550713505128,-0.47166676930928003
/lugaresinexistentes - card (5).jpg,-0.26415085652810544,-0.6551579974607864
/lugaresinexistentes - card (8).jpg,-1.0246676853341772,-1.5512766467599244
/casadovelho - perfume.jpg,-4.33656069230116,1.1036742820009073
/pinterest - alcohol (11).jpg,-3.3692644836462637,1.5814075125672005
/lugaresinexistentes - card (9).jpg,-0.7341587652560367,0.18702408145434524
/pinterest - alcohol (1).jpg,-4.117460958069665,2.3839546516569436
/pinterest - alcohol (12).jpg,-3.9142889430976746,1.8136262573868789
/pinterest - alcohol (10).jpg,-3.4973908844685084,2.563968600631838
/pinterest - alcohol (13).jpg,-3.6928146816298906,2.3258854921760674
/pinterest - alcohol (15).jpg,-4.309301182041792,0.8044483998479367
/pinterest - alcohol (16).jpg,-4.67757352240964,1.2976258085877819
/pinterest - alcohol (18).jpg,-3.606012477250671,2.401299961391184
/pinterest - alcohol (17).jpg,-4.622420879611289,0.6830337756684244
/pinterest - alcohol (14).jpg,-4.176429369276009,1.9188212689547868
/pinterest - butter.jpg,-2.6354059331455386,-0.3088867396260898
/pinterest - biscuit.jpg,-3.696726039707937,0.800771290913917
/pinterest - alcohol (19).jpg,-4.083056490825008,2.4377572128310625
/pinterest - candy (1).jpg,-1.0805805614696031,2.2947913487972156
/pinterest - candy (10).jpg,-2.2776899150975267,-1.731194837859896
/pinterest - alcohol (20).jpg,-3.7883641150521665,2.83811101612096
/pinterest - candy (11).jpg,-1.509263785553984,-1.8336356867309853
/pinterest - candy (12).jpg,-1.993743415768152,-1.9426544412293556
/pinterest - candy (16).jpg,-0.8775907570811964,2.473217488952355
/pinterest - candy (13).jpg,-1.9467101837584793,-1.9804644241594052
/pinterest - candy (14).jpg,-1.9385023750967079,-1.192832011250604
/pinterest - candy (15).jpg,-1.6491477867506619,-1.7335162409976752
/pinterest - candy (17).jpg,-1.56608933536509,2.396214471442851
/pinterest - candy (19).jpg,-1.536354031072431,-1.2902628025681462
/pinterest - candy (18).jpg,-1.1802747843578967,2.2234229118646227
/pinterest - candy (8).jpg,-0.7365155141126267,2.1039771267979885
/pinterest - candy (4).jpg,-1.4426897328019808,1.9718356706089397
/pinterest - candy (2).jpg,-1.414712762476311,2.7976026279425903
/pinterest - candy (5).jpg,-2.271441592795988,-0.9820161164314699
/pinterest - candy (3).jpg,-0.9260989184894353,1.8859480068138594
/pinterest - cheese.jpg,-3.6486480404208144,0.9937202236325269
/pinterest - candy (6).jpg,-1.2096164201275281,1.4572608271038068
/pinterest - candy (7).jpg,-2.0271299213413623,-1.4107936899658005
/pinterest - cornstarch.jpg,-3.547313693218989,2.4756603457013404
/pinterest - candy (9).jpg,-2.2249275038896688,-0.9146254268336648
/pinterest - drink (1).jpg,-2.962750278715205,3.0660026612397746
/pinterest - drink (2).jpg,-1.467288589753731,2.427662997467917
/pinterest - churros.jpg,-3.3324323020365934,2.0478903427081514
/pinterest - drink (3).jpg,-2.0378268029427073,2.411605022002136
/pinterest - drink (5).jpg,-2.5554682432731473,2.4986293961843637
/pinterest - drink (4).jpg,-2.9947823689079445,2.400505421287729
/pinterest - drink (6).jpg,-2.877032052222305,1.623370932011935
/pinterest - gum (2).jpg,-1.9231690585799484,1.880640312244231
/pinterest - gum.jpg,-3.0860571019349274,1.9974695589292646
/pinterest - drink (7).jpg,-2.905751082995107,1.0984919688142554
/pinterest - drink (8).jpg,-3.439583447831241,1.9559789907236915
/pinterest - meat.jpg,-3.726853434541818,1.3800781924116772
/pinterest - vinegar.jpg,-2.630233681723178,2.221877340430085
/thedieline - cigarette (1).jpg,-2.5623707043572237,0.801987013040661
/thedieline - cigarette (3).jpg,-2.2940454074702274,0.9108332421972993
/thedieline - cigarette (4).jpg,-2.0676615867610217,0.8669361191092435
/thedieline - cigarette (5).jpg,-2.2043673708632965,0.008552047916009154
/thedieline - cigarette (2).jpg,-1.9969045053397856,0.38743969964660524
/thedieline - cigarette (6).jpg,-1.807178102991892,0.3806227422725019
/thedieline - cigarette (8).jpg,-1.6900009204025133,0.3771978488203498
/thedieline - cigarette (9).jpg,-2.427332302846909,0.3965239010775879
/thedieline - cigarette (7).jpg,-2.1195708756807425,0.3199958885771541
